hour,zone
15,D
5,C
8,B
0,B
8,A
6,C
22,A
18,D
22,B
1,D
2,C
18,C
2,A
8,A
19,B
23,B
1,B
5,A
21,D
20,B
14,C
9,B
22,B
20,B
2,D
17,B
16,A
2,A
17,B
2,C
7,B
4,B
12,D
10,A
2,B
14,C
8,A
16,B
10,C
1,C
11,A
7,C
18,D
4,D
14,A
23,A
21,A
3,D
11,A
13,B
0,B
17,B
13,A
6,D
14,B
20,B
3,A
14,B
17,B
6,C
3,A
4,D
5,A
11,A
22,B
1,C
3,C
0,B
13,B
15,A
15,B
23,B
17,B
16,B
12,C
8,A
3,C
5,D
0,D
23,C
1,B
17,B
15,A
15,A
7,A
8,B
21,B
3,B
4,B
6,C
2,A
16,B
23,A
2,B
5,C
13,C
1,D
13,C
6,C
8,A
8,A
8,A
23,C
15,A
14,B
4,D
11,A
20,B
3,D
21,B
1,A
14,A
23,A
20,B
21,D
22,B
13,B
6,C
8,C
1,B
20,C
20,B
17,B
0,A
18,B
10,A
15,C
6,B
17,B
8,A
5,A
22,D
1,B
10,D
19,B
18,B
3,B
20,B
2,D
6,B
20,B
18,B
2,A
20,B
5,C
18,B
21,B
9,A
19,B
15,A
6,A
11,B
20,B
10,D
11,A
3,C
19,B
13,A
18,B
22,D
4,A
17,B
4,C
3,A
1,C
3,A
16,A
4,D
11,A
8,A
3,D
12,D
21,C
22,B
9,A
19,B
12,D
22,D
8,A
6,D
20,B
14,C
20,B
18,C
8,A
17,C
15,B
7,D
13,A
19,B
6,D
5,D
0,D
22,B
8,A
9,A
22,B
12,A
9,A
12,B
7,D
2,C
1,D
4,D
2,A
13,C
18,B
14,C
20,B
3,C
13,D
12,B
10,A
20,B
10,A
20,A
14,A
20,B
18,B
8,A
8,A
6,D
10,A
9,A
7,D
5,C
8,A
15,B
16,A
1,B
7,B
14,A
21,A
4,B
4,A
11,A
12,D
17,B
22,A
14,C
22,C
6,B
0,D
1,B
16,C
22,D
6,A
3,D
23,A
7,C
18,B
22,B
12,B
2,A
11,A
14,B
8,A
11,A
7,C
15,C
12,B
6,A
7,C
13,D
23,A
3,B
8,A
11,A
6,C
9,A
15,C
16,A
13,C
5,C
2,B
1,A
0,C
15,D
3,A
7,A
8,A
6,A
13,B
3,D
17,B
14,A
5,D
15,B
9,A
21,A
12,C
17,B
3,B
23,B
10,C
14,A
10,A
1,D
1,C
23,A
19,B
4,B
16,A
10,A
16,C
15,D
0,C
16,A
20,B
4,D
5,D
1,B
9,A
15,B
18,B
12,D
0,B
22,A
21,A
0,A
23,A
15,C
13,C
17,B
15,A
12,D
20,B
8,A
14,D
13,B
23,D
2,A
15,D
23,A
18,B
9,C
15,D
21,C
2,D
18,B
18,B
17,B
6,C
0,D
9,A
16,B
18,B
22,A
15,C
8,A
23,A
10,C
17,B
0,B
21,B
1,D
21,D
3,D
20,B
16,D
3,C
14,B
6,C
18,B
4,D
23,B
7,B
23,A
2,D
22,D
14,B
0,B
4,C
6,B
4,A
16,A
17,B
13,B
9,A
10,A
7,A
0,D
0,C
10,A
21,B
10,A
21,B
18,B
8,A
21,B
2,A
18,B
22,B
11,A
3,D
4,B
22,C
10,A
12,B
4,A
17,A
5,D
14,D
9,A
19,B
9,A
23,A
12,A
20,B
23,A
19,A
19,B
20,B
2,D
8,D
16,A
18,B
7,C
0,D
1,A
9,D
15,D
6,B
14,A
2,A
19,A
3,B
23,C
13,B
23,C
7,C
16,D
13,D
21,C
19,B
17,B
17,C
16,C
9,A
20,B
22,C
3,B
21,A
21,D
4,C
18,B
19,B
7,B
16,D
10,D
18,B
18,B
11,A
22,A
23,D
18,B
6,B
18,C
15,B
13,B
2,C
7,A
14,D
16,A
4,A
16,A
8,A
4,D
3,C
16,D
21,D
14,A
20,B
1,B
0,A
10,A
11,A
13,A
22,D
18,B
8,A
18,B
21,A
6,C
0,B
19,B
1,A
8,D
20,B
6,B
11,D
9,A
13,A
8,A
21,D
16,D
17,B
5,B
18,B
17,B
6,A
14,B
11,A
12,D
8,B
10,A
9,A
8,A
6,C
23,C
23,A
7,D
19,A
23,B
19,B
7,B
15,C
0,B
23,C
0,A
14,B
12,D
19,B
17,B
16,B
11,B
13,C
4,C
11,D
6,B
12,A
2,D
14,A
3,D
16,A
1,D
20,B
0,D
19,C
6,D
21,D
14,C
10,A
14,A
7,B
16,C
14,B
21,A
17,B
2,B
10,A
1,A
9,A
21,A
8,C
19,B
20,B
15,C
16,B
16,B
16,B
